Date,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
11/12/2016,21600137,Final,1610612749,1610612763,2016,1610612749,106,0.529,0.75,0.389,20,35,1610612763,96,0.449,0.952,0.2,20,32,1
11/12/2016,21600132,Final,1610612737,1610612755,2016,1610612737,117,0.505,0.571,0.406,31,52,1610612755,96,0.434,0.65,0.379,21,39,1
11/12/2016,21600136,Final,1610612748,1610612762,2016,1610612748,91,0.469,0.526,0.294,21,39,1610612762,102,0.494,0.842,0.3,12,45,0
11/12/2016,21600130,Final,1610612754,1610612738,2016,1610612754,99,0.419,0.75,0.222,17,40,1610612738,105,0.438,0.818,0.32,22,47,0
11/12/2016,21600138,Final,1610612743,1610612765,2016,1610612743,95,0.429,0.737,0.36,15,42,1610612765,106,0.511,0.714,0.222,23,37,0
11/12/2016,21600134,Final,1610612745,1610612759,2016,1610612745,100,0.382,0.81,0.319,22,46,1610612759,106,0.539,0.792,0.278,21,35,0
11/12/2016,21600131,Final,1610612761,1610612752,2016,1610612761,118,0.47,0.868,0.318,18,44,1610612752,107,0.454,0.75,0.304,19,49,1
11/12/2016,21600135,Final,1610612750,1610612746,2016,1610612750,105,0.449,0.81,0.364,26,39,1610612746,119,0.526,0.757,0.458,25,42,0
11/12/2016,21600139,Final,1610612756,1610612751,2016,1610612756,104,0.374,0.762,0.242,23,55,1610612751,122,0.476,0.867,0.432,22,55,0
11/12/2016,21600129,Final,1610612740,1610612747,2016,1610612740,99,0.433,0.789,0.3,20,42,1610612747,126,0.553,0.857,0.533,36,47,0
11/13/2016,21600140,Final,1610612739,1610612766,2016,1610612739,100,0.424,0.533,0.368,25,53,1610612766,93,0.379,0.833,0.379,23,45,1
11/13/2016,21600142,Final,1610612750,1610612747,2016,1610612750,125,0.525,0.667,0.481,28,44,1610612747,99,0.465,0.833,0.333,16,39,1
11/13/2016,21600144,Final,1610612757,1610612743,2016,1610612757,112,0.394,0.813,0.276,21,44,1610612743,105,0.396,0.759,0.379,11,59,1
11/13/2016,21600141,Final,1610612760,1610612753,2016,1610612760,117,0.511,0.615,0.28,22,42,1610612753,119,0.535,0.8,0.458,24,38,0
11/13/2016,21600143,Final,1610612744,1610612756,2016,1610612744,133,0.517,0.871,0.485,32,43,1610612756,120,0.511,0.769,0.333,27,38,1
11/14/2016,21600145,Final,1610612754,1610612753,2016,1610612754,88,0.389,1,0.32,22,49,1610612753,69,0.321,0.769,0.2,12,52,1
11/14/2016,21600146,Final,1610612752,1610612742,2016,1610612752,93,0.436,0.889,0.36,18,51,1610612742,77,0.381,0.727,0.185,15,40,1
11/14/2016,21600147,Final,1610612765,1610612760,2016,1610612765,104,0.467,0.813,0.313,25,47,1610612760,88,0.375,0.773,0.185,16,51,1
11/14/2016,21600149,Final,1610612745,1610612755,2016,1610612745,115,0.484,0.588,0.425,20,55,1610612755,88,0.378,0.882,0.227,18,39,1
11/14/2016,21600150,Final,1610612759,1610612748,2016,1610612759,94,0.402,0.741,0.533,24,52,1610612748,90,0.44,0.571,0.267,22,41,1
11/14/2016,21600152,Final,1610612746,1610612751,2016,1610612746,127,0.533,0.81,0.56,32,43,1610612751,95,0.442,0.773,0.303,18,37,1
11/14/2016,21600151,Final,1610612762,1610612763,2016,1610612762,96,0.479,0.818,0.286,17,29,1610612763,102,0.474,0.846,0.381,13,44,0
11/14/2016,21600148,Final,1610612740,1610612738,2016,1610612740,106,0.443,0.833,0.286,16,46,1610612738,105,0.4,0.85,0.293,19,44,1
11/15/2016,21600154,Final,1610612748,1610612737,2016,1610612748,90,0.404,0.786,0.304,13,48,1610612737,93,0.463,0.684,0.353,18,35,0
11/15/2016,21600156,Final,1610612757,1610612741,2016,1610612757,88,0.358,0.611,0.265,17,49,1610612741,113,0.418,0.857,0.35,16,67,0
11/15/2016,21600155,Final,1610612750,1610612766,2016,1610612750,108,0.427,0.81,0.429,25,43,1610612766,115,0.538,0.818,0.458,25,37,0
11/15/2016,21600153,Final,1610612739,1610612761,2016,1610612739,121,0.53,0.714,0.394,26,46,1610612761,117,0.479,0.667,0.448,24,40,1
11/15/2016,21600157,Final,1610612747,1610612751,2016,1610612747,125,0.446,0.791,0.321,24,55,1610612751,118,0.455,0.8,0.293,23,47,1
11/16/2016,21600159,Final,1610612753,1610612740,2016,1610612753,89,0.386,0.579,0.37,17,50,1610612740,82,0.366,0.789,0.333,19,48,1
11/16/2016,21600161,Final,1610612738,1610612742,2016,1610612738,90,0.434,0.739,0.333,18,53,1610612742,83,0.41,0.7,0.348,16,32,1
11/16/2016,21600160,Final,1610612754,1610612739,2016,1610612754,103,0.5,0.636,0.357,22,40,1610612739,93,0.407,0.6,0.367,19,51,1
11/16/2016,21600163,Final,1610612737,1610612749,2016,1610612737,107,0.486,0.871,0.313,29,39,1610612749,100,0.398,0.778,0.25,25,47,1
11/16/2016,21600162,Final,1610612752,1610612765,2016,1610612752,105,0.452,0.632,0.36,24,52,1610612765,102,0.494,0.833,0.348,19,40,1
11/16/2016,21600158,Final,1610612755,1610612764,2016,1610612755,109,0.545,0.682,0.357,30,41,1610612764,102,0.418,0.72,0.348,18,40,1
11/16/2016,21600164,Final,1610612760,1610612745,2016,1610612760,105,0.476,0.929,0.48,25,44,1610612745,103,0.435,0.643,0.35,25,47,1
11/16/2016,21600166,Final,1610612743,1610612756,2016,1610612743,120,0.484,0.917,0.471,23,49,1610612756,104,0.494,0.621,0.4,14,35,1
11/16/2016,21600168,Final,1610612758,1610612759,2016,1610612758,105,0.474,0.774,0.45,21,46,1610612759,110,0.489,0.765,0.367,29,37,0
11/16/2016,21600167,Final,1610612746,1610612763,2016,1610612746,107,0.457,0.706,0.36,15,35,1610612763,111,0.488,0.842,0.577,24,43,0
11/16/2016,21600165,Final,1610612761,1610612744,2016,1610612761,121,0.451,0.902,0.4,16,46,1610612744,127,0.506,0.929,0.361,33,35,0
11/17/2016,21600170,Final,1610612748,1610612749,2016,1610612748,96,0.402,0.524,0.233,19,59,1610612749,73,0.329,0.769,0.304,20,48,1
11/17/2016,21600173,Final,1610612762,1610612741,2016,1610612762,77,0.385,0.857,0.2,11,48,1610612741,85,0.367,0.875,0.294,8,46,0
11/17/2016,21600172,Final,1610612750,1610612755,2016,1610612750,110,0.512,0.9,0.24,18,48,1610612755,86,0.373,0.789,0.281,15,40,1
11/17/2016,21600171,Final,1610612745,1610612757,2016,1610612745,126,0.484,0.8,0.438,26,54,1610612757,109,0.456,0.81,0.357,24,41,1
11/17/2016,21600169,Final,1610612764,1610612752,2016,1610612764,119,0.543,0.889,0.6,26,37,1610612752,112,0.477,0.9,0.414,23,36,1
11/18/2016,21600180,Final,1610612742,1610612763,2016,1610612742,64,0.288,0.773,0.2,9,45,1610612763,80,0.403,0.75,0.36,16,48,0
11/18/2016,21600175,Final,1610612739,1610612765,2016,1610612739,104,0.482,0.929,0.44,26,52,1610612765,81,0.312,0.85,0.316,23,44,1
11/18/2016,21600174,Final,1610612766,1610612737,2016,1610612766,100,0.411,0.667,0.345,25,44,1610612737,96,0.464,0.647,0.25,25,49,1
11/18/2016,21600177,Final,1610612740,1610612757,2016,1610612740,113,0.549,0.7,0.375,31,37,1610612757,101,0.375,0.885,0.353,19,48,1
